id	Geographic Area Name	EstimateMoved; within same countyPopulation 1 year and over	"EstimateMoved; from different county, same statePopulation 1 year and over"	EstimateMoved; from different  statePopulation 1 year and over	EstimateMoved; from abroadPopulation 1 year and over																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12420	"Austin-Round Rock, TX Metro Area"	9.6	5.3	2.9	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12460	"Bainbridge, GA Micro Area"	8.6	3.7	1.3	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12540	"Bakersfield, CA Metro Area"	9.9	3.3	1.1	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12580	"Baltimore-Columbia-Towson, MD Metro Area"	7.2	3.3	2.3	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12620	"Bangor, ME Metro Area"	9.2	3.5	2.7	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12660	"Baraboo, WI Micro Area"	7.8	3.9	1.6	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12680	"Bardstown, KY Micro Area"	7.9	4.3	0.4	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12700	"Barnstable Town, MA Metro Area"	5.3	2.1	1.8	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12740	"Barre, VT Micro Area"	6.6	1.9	2.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12780	"Bartlesville, OK Micro Area"	8.4	4.2	3.5	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12820	"Bastrop, LA Micro Area"	3.5	1.5	0.5	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12860	"Batavia, NY Micro Area"	6	3.1	0.7	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12900	"Batesville, AR Micro Area"	10.2	4	1.9	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12940	"Baton Rouge, LA Metro Area"	8.4	3.6	1.9	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12980	"Battle Creek, MI Metro Area"	10.2	3.4	1.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
