id	Geographic Area Name	EstimateMoved; within same countyPopulation 1 year and over	"EstimateMoved; from different county, same statePopulation 1 year and over"	EstimateMoved; from different  statePopulation 1 year and over	EstimateMoved; from abroadPopulation 1 year and over																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US29780	"Las Vegas, NM Micro Area"	5.3	3.1	1.6	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US29820	"Las Vegas-Henderson-Paradise, NV Metro Area"	13.5	0.2	4.5	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US29860	"Laurel, MS Micro Area"	4.6	3.1	0.4	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US29900	"Laurinburg, NC Micro Area"	7.2	5	1.7	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US29940	"Lawrence, KS Metro Area"	15	6.1	4.9	1.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US29980	"Lawrenceburg, TN Micro Area"	6.2	1.9	1.1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30020	"Lawton, OK Metro Area"	13.8	3.5	9.7	1.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30060	"Lebanon, MO Micro Area"	7	3.6	1.2	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30140	"Lebanon, PA Metro Area"	7.6	3.7	1.3	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30220	"Levelland, TX Micro Area"	8.5	7	1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30260	"Lewisburg, PA Micro Area"	7.2	4.2	4.9	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30280	"Lewisburg, TN Micro Area"	4.5	4.6	1.3	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30300	"Lewiston, ID-WA Metro Area"	9.2	2	5.3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30340	"Lewiston-Auburn, ME Metro Area"	9.5	3.6	2	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30380	"Lewistown, PA Micro Area"	7.9	2.7	0.9	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30420	"Lexington, NE Micro Area"	7	4	2	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30460	"Lexington-Fayette, KY Metro Area"	13.1	4.8	3.5	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30580	"Liberal, KS Micro Area"	9.5	2.2	3.3	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30620	"Lima, OH Metro Area"	10	3.5	2.3	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30660	"Lincoln, IL Micro Area"	8.2	8.2	0.8	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30700	"Lincoln, NE Metro Area"	13	4.2	3.1	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30780	"Little Rock-North Little Rock-Conway, AR Metro Area"	8.9	3.5	2	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30820	"Lock Haven, PA Micro Area"	6.7	5.3	1.1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30860	"Logan, UT-ID Metro Area"	11.1	3.8	3.9	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30880	"Logan, WV Micro Area"	7.4	1.9	0.5	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30900	"Logansport, IN Micro Area"	6.9	4.2	0.7	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30940	"London, KY Micro Area"	5	4.2	1.6	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US30980	"Longview, TX Metro Area"	9.1	7.4	1.1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31020	"Longview, WA Metro Area"	12.8	3.2	3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31060	"Los Alamos, NM Micro Area"	3.6	2.8	4.5	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31080	"Los Angeles-Long Beach-Anaheim, CA Metro Area"	8.1	1.4	1	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31140	"Louisville/Jefferson County, KY-IN Metro Area"	8.9	2.8	2	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31180	"Lubbock, TX Metro Area"	15.4	7	2.1	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31220	"Ludington, MI Micro Area"	7	4.2	1.3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31260	"Lufkin, TX Micro Area"	10.4	5.1	1.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31300	"Lumberton, NC Micro Area"	5.2	2.1	0.9	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31340	"Lynchburg, VA Metro Area"	6.1	5.2	2.7	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31380	"Macomb, IL Micro Area"	9.1	7.5	2.2	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31420	"Macon-Bibb County, GA Metro Area"	8.2	5.2	1.4	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31460	"Madera, CA Metro Area"	6.4	4.4	0.6	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31500	"Madison, IN Micro Area"	9	5.3	2.7	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31540	"Madison, WI Metro Area"	11	3.3	3	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31580	"Madisonville, KY Micro Area"	9.5	3.5	0.6	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31620	"Magnolia, AR Micro Area"	6.9	4.4	2.3	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31660	"Malone, NY Micro Area"	6.9	6.8	1.6	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31680	"Malvern, AR Micro Area"	7.4	6	1.2	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31700	"Manchester-Nashua, NH Metro Area"	8.8	2	3.9	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31740	"Manhattan, KS Metro Area"	11.1	7.7	5	1.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31820	"Manitowoc, WI Micro Area"	4.8	1.8	0.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31860	"Mankato-North Mankato, MN Metro Area"	6.8	8.4	2.4	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31900	"Mansfield, OH Metro Area"	10.8	4.6	1.2	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31930	"Marietta, OH Micro Area"	6.2	1.7	2.8	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31940	"Marinette, WI-MI Micro Area"	5.8	2.5	2.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US31980	"Marion, IN Micro Area"	9.5	2.5	2.7	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32000	"Marion, NC Micro Area"	5.1	2.8	1.2	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32020	"Marion, OH Micro Area"	8.8	5.5	1.1	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32100	"Marquette, MI Micro Area"	10	4.6	2.5	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32140	"Marshall, MN Micro Area"	7.9	4.8	2.2	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32180	"Marshall, MO Micro Area"	10	5	2.1	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32220	"Marshall, TX Micro Area"	4.2	3	1.5	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32260	"Marshalltown, IA Micro Area"	7.9	3	1.2	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32280	"Martin, TN Micro Area"	6.8	5.7	2.1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32300	"Martinsville, VA Micro Area"	5.5	4.4	1.2	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32340	"Maryville, MO Micro Area"	11	10.8	5.7	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32380	"Mason City, IA Micro Area"	7	3	1.9	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32420	"Mayag???ez, PR Metro Area"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
310M400US32460	"Mayfield, KY Micro Area"	5	2.2	0.9	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32500	"Maysville, KY Micro Area"	6.3	3.6	3.1	1.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32540	"McAlester, OK Micro Area"	10.7	5.6	2.4	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32580	"McAllen-Edinburg-Mission, TX Metro Area"	7	1.3	0.6	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32620	"McComb, MS Micro Area"	5	2.3	1.6	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32660	"McMinnville, TN Micro Area"	8.2	2.7	1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32700	"McPherson, KS Micro Area"	8.4	3.2	2.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US32740	"Meadville, PA Micro Area"	7.8	3.1	1.4	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
